Id de pago,fecha,CVU/CBU, Valor
4597,11/1/2025,2129873779400220000000,$1694.250
4598,2/1/2025,4919495851948610000000,$1881.510
4599,15/1/2025,4561779673192690000000,$2777.355
4600,15/1/2025,3266747550821390000000,$1264.890
4601,11/1/2025,6097490679148810000000,$2141.220
4602,11/1/2025,3354991467350240000000,$2764.215
4603,3/1/2025,6871877630907340000000,$1459.605
4604,2/1/2025,9798767349218530000000,$1813.890
4605,12/1/2025,5117305773618830000000,$1143.585
4606,13/1/2025,6097490679148810000000,$1583.640
4607,2/1/2025,7953401268952790000000,$2095.950
4608,7/1/2025,5120658000397530000000,$1738.455
4609,5/1/2025,4609186475649680000000,$2443.515
4610,15/1/2025,9301914663635570000000,$1436.355
4611,11/1/2025,7138512868566790000000,$2823.375
4612,8/1/2025,8445671467790750000000,$942.705
4613,4/1/2025,6871877630907340000000,$2985.900
4614,9/1/2025,4006646858395060000000,$1844.685
4615,14/1/2025,5930181715250340000000,$2624.625
4616,13/1/2025,4985434974457620000000,$2574.525
4617,8/1/2025,2476716673525860000000,$1633.785
4618,13/1/2025,5973855585697530000000,$1624.725
4619,4/1/2025,9873052363609460000000,$2497.140
4620,6/1/2025,4756975101210820000000,$2094.360
4621,15/1/2025,5468347189492110000000,$2636.400
4622,15/1/2025,5468347189492110000000,$2463.960
4623,2/1/2025,9064821306055800000000,$1378.740
4624,2/1/2025,8672747146995710000000,$1863.090
4625,6/1/2025,8671363847364540000000,$2726.520
4626,8/1/2025,8445671467790750000000,$2126.040
4627,11/1/2025,3253840470755770000000,$2418.480
4628,11/1/2025,4919495851948610000000,$2272.155
4629,14/1/2025,5117305773618830000000,$2494.725
4630,12/1/2025,7863471034839500000000,$1619.220
4631,2/1/2025,4203623168121110000000,$887.940
4632,11/1/2025,2698999302843630000000,$1471.185
4633,13/1/2025,4058688834338790000000,$1143.540
4634,5/1/2025,4649132091620120000000,$943.110
4635,14/1/2025,4058688834338790000000,$2784.855
4636,13/1/2025,6758376167184140000000,$2504.955
4637,3/1/2025,8944383491849780000000,$1224.510
4638,15/1/2025,9090011910089050000000,$833.460
4639,13/1/2025,8552897590627620000000,$1855.830
4640,11/1/2025,2281135864391360000000,$2809.635
4641,10/1/2025,9798767349218530000000,$2959.185
4642,11/1/2025,4985434974457620000000,$1434.015
4643,12/1/2025,7152486951219100000000,$2513.520
4644,5/1/2025,8555737009968730000000,$2875.335
4645,10/1/2025,5103976690518920000000,$804.195
4646,6/1/2025,3569167187044620000000,$896.085
4647,5/1/2025,8552897590627620000000,$1250.610
4648,10/1/2025,8401655961961310000000,$1864.200
4649,5/1/2025,3253840470755770000000,$2065.065
4650,3/1/2025,4207339942053770000000,$2563.470
4651,2/1/2025,2476716673525860000000,$2050.140
4652,4/1/2025,9090011910089050000000,$2673.195
4653,3/1/2025,8672747146995710000000,$878.415
4654,2/1/2025,3569167187044620000000,$1628.910
4655,4/1/2025,8555737009968730000000,$1224.240
4656,4/1/2025,1135532276120800000000,$2163.225
4657,2/1/2025,8671363847364540000000,$2627.055
4658,2/1/2025,7168192492596300000000,$858.045
4659,6/1/2025,8149043925352400000000,$2486.310
4660,5/1/2025,2129873779400220000000,$1176.735
4661,7/1/2025,8671363847364540000000,$2914.005
4662,2/1/2025,4006646858395060000000,$1612.395
4663,7/1/2025,9786775943413510000000,$2076.630
4664,10/1/2025,5513026903129130000000,$966.000
4665,10/1/2025,4609186475649680000000,$2141.295
4666,1/1/2025,4985434974457620000000,$1008.015
4667,12/1/2025,1112192065530490000000,$2666.880
4668,14/1/2025,4738588789752250000000,$2393.925
4669,8/1/2025,8944383491849780000000,$1709.895
4670,6/1/2025,5738542183850040000000,$820.950
4671,10/1/2025,9391219716521860000000,$981.690
4672,1/1/2025,9098586370061070000000,$2742.720
4673,10/1/2025,3569167187044620000000,$1321.230
4674,11/1/2025,9798767349218530000000,$2670.420
4675,2/1/2025,4279197314180250000000,$2235.165
4676,4/1/2025,2314407897385040000000,$1830.660
4677,14/1/2025,5465692922711630000000,$1964.820
4678,14/1/2025,1599906229584790000000,$2737.335
4679,15/1/2025,8571141132270220000000,$1684.605
4680,15/1/2025,4141229099761540000000,$1168.080
4681,12/1/2025,2645474487824410000000,$2271.330
4682,1/1/2025,7385183762532280000000,$2623.560
4683,8/1/2025,7863471034839500000000,$1845.570
4684,1/1/2025,6097490679148810000000,$2904.540
4685,14/1/2025,3154817750445590000000,$1312.080
4686,3/1/2025,2314407897385040000000,$2357.400
